RespondentId,opdata_CourseID,Q1MaincellgroupRow1,Q1MaincellgroupRow2,Q1MaincellgroupRow3,Q1MaincellgroupRow4,Q1MaincellgroupRow5,Q1MaincellgroupRow6,Q1MaincellgroupRow7,Q1MaincellgroupRow8,Q1MaincellgroupRow9,Q1MaincellgroupRow10
433724,AnPhA-T116-01,5,5,5,1,5,5,1,5,5,5
484811,AnPhA-S216-01,5,5,3,1,5,5,3,5,5,5
479405,AnPhA-S216-01,5,5,3,1,5,5,2,5,5,5
434377,BioA-S116-01,3,3,2,2,4,3,1,4,3,3
479631,FrScA-S216-01,2,2,1,4,1,3,2,3,2,1
432258,OcnA-S116-02,4,4,4,2,5,4,2,4,3,5
483940,OcnA-S216-01,4,3,3,2,4,4,3,4,4,4
526085,BioA-S216-01,3,2,3,3,3,3,3,4,3,3
523231,BioA-S216-01,4,4,2,2,4,3,2,4,4,4
459886,PhysA-S116-01,4,5,2,3,4,4,3,4,4,2
437546,BioA-S116-01,4,3,3,2,4,3,2,4,3,3
436848,OcnA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437320,FrScA-S116-01,4,3,3,4,3,3,2,4,3,3
485798,PhysA-S216-01,3,4,3,1,3,5,2,3,3,4
440473,PhysA-S116-01,4,4,3,2,4,4,2,4,2,4
520849,BioA-S216-01,3,4,3,3,3,4,3,3,3,4
508415,BioA-S216-01,5,4,4,1,5,4,2,5,4,5
432256,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435064,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433388,OcnA-S116-01,5,3,3,1,5,4,1,5,3,4
435154,BioA-S116-01,5,5,4,4,4,4,2,5,5,5
435801,FrScA-S116-01,4,3,4,1,5,4,3,5,3,5
523932,BioA-S216-01,4,4,3,1,4,4,2,4,4,4
485032,AnPhA-S216-02,5,5,3,1,5,5,2,5,4,4
501514,BioA-S216-01,5,5,5,1,5,5,1,5,5,5
496732,BioA-S216-01,5,5,5,1,4,1,2,5,5,5
438884,BioA-S116-01,5,5,3,1,5,5,1,5,5,5
515474,BioA-S216-01,4,3,2,4,4,3,2,4,3,4
501514,BioA-S216-01,4,4,3,2,4,4,4,4,4,4
479560,AnPhA-S216-02,5,5,3,1,5,5,2,5,5,5
518009,BioA-S216-01,4,4,3,1,4,4,2,4,4,3
485428,FrScA-S216-01,4,3,3,2,4,4,2,4,3,4
479748,OcnA-S216-02,5,4,4,1,4,4,2,5,3,5
524658,BioA-S216-01,4,4,2,2,4,4,2,3,2,4
520951,BioA-S216-01,4,2,2,2,4,4,2,3,3,4
484496,FrScA-S216-02,4,3,4,1,4,3,3,4,3,4
483417,AnPhA-S216-01,5,4,3,1,5,5,3,5,4,4
432826,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485472,PhysA-S216-01,3,4,4,2,4,5,4,4,4,4
432843,AnPhA-S116-01,4,3,1,2,3,3,3,4,2,3
432334,OcnA-T116-01,5,4,4,3,3,4,3,4,2,3
479514,FrScA-S216-01,5,3,3,1,5,3,1,5,4,5
511582,BioA-S216-01,4,4,4,2,4,4,2,4,4,4
482173,FrScA-S216-01,4,3,2,2,4,4,2,4,3,3
432400,AnPhA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433169,FrScA-S116-01,5,4,4,1,5,5,1,5,4,5
444239,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486420,AnPhA-S216-01,5,5,5,1,4,5,1,4,5,5
441445,FrScA-S116-01,5,2,4,1,5,5,3,5,2,5
479612,OcnA-S216-01,3,3,4,3,4,3,4,3,3,4
436863,OcnA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481593,FrScA-S216-01,4,2,1,2,4,4,1,4,2,3
434744,OcnA-S116-03,4,3,4,2,4,3,2,4,4,3
435824,FrScA-S116-03,4,3,2,2,4,4,3,4,NA,4
435823,BioA-S116-01,5,3,3,1,4,4,2,5,3,4
479409,FrScA-S216-01,3,3,3,3,3,3,3,3,3,3
435469,AnPhA-S116-01,5,5,4,2,4,4,1,4,4,4
432210,FrScA-T116-01,5,NA,3,2,4,2,1,3,2,3
435856,AnPhA-S116-02,5,5,4,1,5,5,1,5,5,5
481285,FrScA-S216-01,5,5,4,1,5,5,1,5,3,5
433268,OcnA-T116-01,4,4,3,2,4,4,3,4,4,4
433125,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480142,OcnA-S216-01,4,3,2,2,4,5,3,5,3,5
442407,FrScA-S116-03,4,2,2,3,4,3,NA,4,3,3
434359,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480857,FrScA-S216-01,4,4,3,2,4,5,2,4,4,5
433129,PhysA-S116-01,5,5,5,2,5,5,2,5,4,4
483052,FrScA-S216-01,4,4,3,2,4,4,2,4,4,4
516798,BioA-S216-01,5,5,5,3,5,5,1,5,5,5
433672,AnPhA-S116-01,5,5,5,1,5,5,1,5,5,4
440547,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434615,FrScA-S116-01,4,3,3,3,4,3,3,3,3,3
435848,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480793,FrScA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485472,PhysA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436821,BioA-S116-01,5,4,5,1,5,5,1,5,5,4
481593,PhysA-S216-01,4,3,3,3,3,4,3,3,2,NA
432815,FrScA-S116-03,5,4,4,1,5,5,3,5,5,5
479661,AnPhA-S216-01,5,5,5,1,5,5,1,5,5,5
434690,OcnA-S116-01,5,4,4,2,4,4,2,5,4,5
436610,BioA-S116-01,5,4,4,2,4,4,1,4,4,4
489226,FrScA-S216-01,5,3,4,1,5,5,1,5,5,5
436577,FrScA-S116-01,5,3,4,1,5,4,1,4,3,5
434231,FrScA-S116-01,4,4,4,1,4,4,1,4,4,5
479411,FrScA-S216-01,3,3,3,4,3,3,3,2,3,3
431864,BioA-S116-01,1,2,3,4,3,3,3,3,3,3
482613,OcnA-S216-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434756,BioA-S116-01,4,4,4,2,4,4,NA,4,4,3
442510,AnPhA-S116-02,4,4,4,2,4,4,2,4,4,4
435445,AnPhA-S116-01,4,4,4,2,4,4,3,4,4,4
435047,FrScA-S116-03,5,3,3,1,5,5,1,5,3,5
520284,BioA-S216-01,4,3,3,2,4,4,3,4,3,4
482199,OcnA-S216-01,4,3,2,2,4,4,1,4,3,2
482693,AnPhA-S216-01,5,5,5,1,5,5,1,5,5,5
479110,FrScA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436868,AnPhA-S116-02,4,4,3,1,5,5,1,5,4,4
432765,FrScA-S116-03,4,3,3,2,4,4,3,4,3,2
479481,PhysA-S216-01,1,3,3,3,4,3,3,4,3,4
439113,BioA-S116-01,5,5,4,2,4,5,2,4,3,3
491879,AnPhA-S216-02,5,4,4,1,4,5,2,3,4,5
437553,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435149,BioA-S116-01,4,4,3,1,5,4,1,4,4,4
430222,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483041,OcnA-S216-02,5,5,5,1,5,5,1,4,4,4
436517,BioA-S116-01,5,4,4,2,4,4,2,4,4,4
432222,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483820,AnPhA-S216-01,5,5,4,2,5,5,1,5,4,4
434426,@X@course.course_id@X@,5,5,5,1,5,5,1,5,5,5
483772,AnPhA-S216-02,5,3,4,1,5,5,2,5,4,4
435392,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432758,FrScA-S116-03,5,4,5,1,5,5,3,5,4,5
432219,FrScA-S116-01,4,3,3,2,4,3,3,4,3,5
432258,OcnA-S116-01,4,3,3,2,4,3,3,4,3,4
485080,FrScA-S216-01,5,3,3,2,4,3,3,4,3,4
483753,FrScA-S216-02,5,5,4,1,5,4,2,5,5,5
433316,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436771,BioA-S116-01,4,4,3,2,4,4,2,4,3,4
435064,BioA-S116-01,4,3,3,2,4,4,3,4,3,4
480863,FrScA-S216-02,4,2,4,1,4,3,3,4,3,4
435775,FrScA-S116-03,5,4,4,1,4,4,3,4,3,4
432215,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432745,PhysA-S116-01,4,4,4,2,4,5,2,4,4,4
431909,FrScA-S116-01,5,3,4,1,4,3,1,4,3,5
433222,FrScA-S116-03,5,3,3,1,4,3,2,5,3,5
489894,PhysA-S216-01,5,5,5,1,5,5,1,5,5,5
499070,AnPhA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432843,FrScA-S116-03,5,5,5,1,5,5,1,5,5,5
432775,AnPhA-S116-01,4,4,3,2,4,4,3,4,3,4
481593,FrScA-S216-02,5,3,4,1,5,4,2,5,4,5
449206,AnPhA-S116-02,3,2,2,3,3,3,3,NA,3,3
489589,FrScA-S216-02,4,4,4,2,4,4,3,4,4,5
481250,AnPhA-S216-02,5,5,5,1,5,5,1,5,NA,4
432219,PhysA-S116-01,4,5,5,1,4,4,2,4,4,5
432856,AnPhA-S116-01,5,5,4,2,5,5,NA,5,5,5
480025,FrScA-S216-01,5,4,3,1,4,5,1,5,NA,5
432944,FrScA-S116-01,4,2,3,2,4,NA,NA,NA,NA,NA
438889,BioA-S116-01,5,5,4,1,5,5,2,NA,3,5
433111,PhysA-S116-01,4,4,3,2,NA,4,1,4,4,4
432765,OcnA-S116-02,5,4,3,1,5,4,2,5,5,5
434316,BioA-S116-01,4,4,3,2,4,4,2,4,2,3
432366,OcnA-S116-01,5,4,4,1,5,5,3,5,4,5
434277,BioA-S116-01,4,4,3,2,4,4,3,4,3,2
479405,AnPhA-S216-01,5,5,3,2,4,5,1,4,4,5
480382,FrScA-S216-01,4,4,3,2,4,4,2,5,4,5
435057,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432215,OcnA-S116-02,4,3,4,2,4,3,2,4,3,4
455277,BioA-S116-01,3,4,5,2,4,4,2,4,2,3
432309,BioA-S116-01,5,3,3,5,5,4,3,5,3,5
437289,BioA-S116-01,5,5,5,1,5,5,1,5,5,5
438332,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432210,FrScA-S116-01,4,3,3,2,4,3,3,4,3,4
436618,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437289,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488982,FrScA-S216-01,4,3,3,2,3,3,2,4,3,4
482572,FrScA-S216-01,5,3,3,2,4,3,2,4,3,3
434685,FrScA-S116-03,5,5,5,1,5,4,1,5,5,5
442697,BioA-S116-01,5,5,5,1,5,5,1,5,5,5
480437,AnPhA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432352,BioA-S116-01,4,4,3,1,5,5,4,4,3,5
480482,BioA-S216-01,4,4,4,1,4,5,2,4,4,4
442410,BioA-S116-01,4,4,4,2,4,4,2,4,4,4
432400,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448179,BioA-S116-01,3,4,4,2,4,5,2,4,4,4
479665,AnPhA-S216-01,3,3,3,3,3,4,3,3,3,4
434293,FrScA-S116-01,4,3,4,2,4,3,2,4,3,4
434732,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487179,AnPhA-S216-01,5,5,4,1,5,5,2,4,5,5
433387,OcnA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434366,FrScA-S116-01,5,4,3,1,4,4,1,4,4,5
480116,FrScA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432786,OcnA-S116-01,5,5,5,1,5,5,2,5,5,5
434005,BioA-S116-01,4,3,4,2,4,3,2,4,3,4
432821,OcnA-S116-01,3,4,3,2,3,4,3,2,3,3
435877,FrScA-S116-03,4,3,4,2,4,3,3,4,3,4
485118,OcnA-S216-01,5,4,3,1,5,4,1,5,3,4
480391,FrScA-S216-01,4,3,2,3,4,3,4,4,3,2
445979,PhysA-S116-01,4,4,2,2,3,4,3,4,4,4
481250,AnPhA-S216-02,5,5,5,1,5,5,2,5,5,5
433936,FrScA-S116-03,5,4,4,1,5,5,2,5,2,5
432237,OcnA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483940,OcnA-S216-01,4,3,3,1,5,3,1,4,3,5
435493,AnPhA-S116-01,4,4,3,1,4,4,3,4,3,4
432220,FrScA-S116-01,4,4,4,2,4,4,1,4,4,4
434168,FrScA-S116-01,4,4,3,2,4,4,3,4,3,4
446182,PhysA-S116-01,4,5,2,3,3,4,4,4,4,3
437131,BioA-S116-01,5,4,4,1,4,4,2,5,4,4
432409,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482956,PhysA-S216-01,3,3,3,3,3,4,3,3,3,4
434280,BioA-S116-01,4,4,3,2,4,4,3,4,3,3
487179,AnPhA-S216-01,4,4,2,1,4,4,1,4,5,5
482204,FrScA-S216-01,4,3,3,1,4,4,1,4,3,4
487161,AnPhA-S216-01,5,5,4,1,5,5,2,4,5,5
435269,FrScA-S116-03,5,3,3,1,5,5,2,5,2,5
433936,BioA-S116-01,5,5,5,1,5,5,1,5,5,5
448098,BioA-S116-01,1,2,1,1,1,3,2,3,2,1
433124,FrScA-S116-01,5,3,3,1,5,4,2,5,3,3
446320,FrScA-S116-01,4,4,3,2,4,4,1,4,4,4
479661,AnPhA-S216-01,4,4,3,2,4,4,2,4,4,4
479604,OcnA-S216-01,4,4,3,2,3,3,3,4,3,3
484867,AnPhA-S216-01,5,5,3,2,5,5,2,5,3,4
485451,OcnA-S216-01,4,2,2,1,4,3,2,4,3,5
480459,AnPhA-S216-01,5,5,5,1,5,5,1,5,5,5
430158,AnPhA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442370,BioA-S116-01,5,4,3,1,5,5,1,4,4,4
471875,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479643,OcnA-S216-01,3,3,3,3,4,3,3,4,3,3
433111,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434707,FrScA-S116-02,5,3,3,1,5,4,1,5,4,5
480445,FrScA-S216-02,4,3,4,2,5,4,2,5,3,4
458581,BioA-S116-01,4,4,3,2,4,4,2,4,2,4
480445,FrScA-S216-01,4,3,2,2,4,5,3,4,3,4
518316,BioA-S216-01,5,5,5,1,4,5,1,5,5,5
508704,BioA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432905,PhysA-S116-01,4,4,3,2,4,4,2,4,2,3
479382,FrScA-S216-01,5,4,3,2,5,4,2,5,3,4
435775,BioA-S116-01,4,4,2,2,4,4,3,4,3,3
431956,FrScA-T116-01,3,3,3,4,3,3,2,3,3,3
479382,AnPhA-S216-02,5,5,3,1,5,5,2,5,5,5
479481,FrScA-S216-01,4,2,3,1,5,4,1,5,2,4
433124,AnPhA-S116-01,5,5,4,1,5,5,3,5,5,5
481380,FrScA-S216-01,5,3,3,1,4,3,2,4,3,4
440272,AnPhA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511961,BioA-S216-01,4,4,3,2,4,4,2,4,4,5
482573,AnPhA-S216-01,5,5,4,2,5,5,2,5,3,5
480013,FrScA-S216-01,5,3,3,1,5,4,2,5,3,5
480423,AnPhA-S216-01,4,5,5,1,5,5,1,5,5,4
440357,PhysA-S116-01,5,5,4,1,4,4,1,5,5,3
435848,BioA-S116-01,4,4,3,2,5,3,2,5,3,5
444975,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436844,AnPhA-S116-02,4,4,3,2,4,4,2,4,4,4
488158,AnPhA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434181,FrScA-S116-01,5,3,4,1,4,3,2,4,3,5
483753,FrScA-S216-02,4,3,3,2,4,4,2,3,3,2
526085,BioA-S216-01,4,2,3,2,4,3,3,4,2,3
479413,FrScA-S216-01,5,5,3,1,5,5,1,5,5,5
433385,BioA-S116-01,5,4,4,1,5,5,4,5,4,4
434817,FrScA-S116-04,5,5,4,1,5,5,1,5,5,5
432404,FrScA-S116-01,5,5,3,1,4,4,1,5,3,4
448406,BioA-S116-01,4,4,3,2,4,4,2,4,3,4
438871,BioA-S116-01,5,5,3,1,5,5,2,5,5,5
480519,FrScA-S216-01,4,4,3,2,4,5,3,4,4,4
442797,BioA-S116-01,4,4,4,2,4,4,2,4,4,4
433252,@X@course.course_id@X@,5,5,5,1,5,5,1,5,5,5
518312,BioA-S216-01,4,3,2,2,4,4,3,4,4,4
430172,BioA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432676,OcnA-T116-01,5,3,4,2,4,4,1,4,3,2
435636,BioA-S116-01,5,4,5,1,5,5,1,5,5,5
435442,BioA-S116-01,5,4,3,2,4,4,1,5,3,4
480488,BioA-S216-01,4,3,2,4,2,3,1,3,3,2
483061,AnPhA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444648,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436003,AnPhA-S116-02,4,5,2,2,4,5,2,4,4,4
516746,BioA-S216-01,5,3,3,2,4,3,1,5,3,5
484867,FrScA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434707,BioA-S116-01,5,4,3,1,5,4,1,5,4,5
432888,@X@course.course_id@X@,3,2,2,4,3,3,4,2,2,3
433672,AnPhA-S116-01,5,5,5,1,5,5,2,5,5,4
438902,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479591,FrScA-S216-01,5,3,3,2,4,3,3,4,3,4
430188,FrScA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440142,BioA-S116-01,4,4,3,2,4,5,3,4,4,4
434290,BioA-S116-01,4,4,4,2,4,4,2,4,3,3
437333,BioA-S116-01,5,5,5,1,5,5,2,5,5,5
523620,BioA-S216-01,4,3,3,3,4,2,3,4,2,5
434666,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491471,OcnA-S216-02,4,3,3,1,5,5,2,5,5,5
511691,BioA-S216-01,4,4,3,4,4,4,2,4,5,4
444891,@X@course.course_id@X@,5,3,3,NA,5,3,2,5,4,4
435152,AnPhA-T116-01,5,5,4,1,5,5,2,5,5,5
494423,BioA-S216-01,4,3,3,2,4,3,2,NA,3,4
432667,FrScA-S116-02,5,4,5,1,5,5,1,5,4,5
459800,FrScA-S116-01,4,3,3,2,4,4,2,4,3,3
436245,AnPhA-S116-01,4,4,4,1,4,5,1,4,4,4
489119,PhysA-S216-01,4,4,3,2,3,5,4,5,5,5
432718,PhysA-S116-01,4,4,4,2,5,5,3,5,5,3
485443,AnPhA-S216-01,5,5,3,1,5,5,4,5,4,5
432406,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520362,BioA-S216-01,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
432847,FrScA-S116-03,5,3,4,1,5,4,2,5,2,5
512553,FrScA-S216-02,4,2,2,2,3,3,2,4,2,4
434192,FrScA-S116-01,5,3,5,1,5,4,3,5,3,2
480422,FrScA-S216-01,4,3,2,3,4,2,3,4,3,3
482213,AnPhA-S216-01,5,5,4,1,5,5,1,5,5,5
426746,OcnA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432373,OcnA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480070,OcnA-S216-02,4,2,3,2,5,3,2,5,3,5
482621,FrScA-S216-01,5,4,3,2,4,5,2,4,4,4
434414,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482599,FrScA-S216-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432309,FrScA-S116-01,5,5,3,1,5,5,2,5,3,5
436760,AnPhA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511961,BioA-S216-01,4,4,2,2,4,4,2,4,4,4
434168,FrScA-S116-01,5,4,3,1,4,4,1,5,5,5
479527,AnPhA-S216-01,3,4,3,2,4,5,3,4,4,4
479468,FrScA-S216-01,5,2,4,1,5,4,1,5,5,5
480445,@X@course.course_id@X@,3,3,2,3,3,4,4,3,4,3
432674,@X@course.course_id@X@,4,4,3,2,5,3,2,5,4,5
434213,BioA-S116-01,4,4,3,2,4,4,3,4,3,3
434293,AnPhA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435856,AnPhA-S116-02,4,5,3,1,4,5,2,4,4,4
430181,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432932,FrScA-S116-01,4,1,3,2,4,3,2,4,3,4
520452,AnPhA-S216-01,4,4,3,2,5,4,2,5,4,5
514372,BioA-S216-01,4,2,2,3,3,2,1,3,2,4
436594,BioA-S116-01,5,4,5,1,5,5,1,5,5,5
437166,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431864,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479373,FrScA-S216-01,4,3,4,2,4,3,3,4,3,5
483621,OcnA-S216-01,5,3,4,1,5,4,1,5,3,4
522806,BioA-S216-01,4,4,2,2,4,4,2,4,3,4
482704,OcnA-S216-01,5,4,3,1,5,4,2,4,4,5
455277,BioA-S116-01,4,3,3,3,3,4,3,3,3,3
435057,FrScA-S116-01,4,3,3,2,5,4,3,4,3,3
479410,AnPhA-S216-01,4,3,3,2,4,5,3,4,4,4
445979,PhysA-S116-01,4,4,2,2,3,4,3,4,4,4
437158,BioA-S116-01,4,3,4,3,4,3,2,4,3,4
488050,FrScA-S216-01,4,4,3,2,4,4,2,4,3,4
431864,BioA-S116-01,4,3,3,2,4,4,2,4,4,5
482239,AnPhA-S216-01,5,5,5,1,5,5,1,5,5,5
434776,OcnA-S116-01,4,3,3,2,4,3,1,4,2,2
484069,FrScA-S216-02,4,4,3,2,4,4,3,4,4,4
442118,AnPhA-S116-02,4,4,4,1,4,4,2,4,4,5
434192,AnPhA-S116-01,4,4,3,2,4,4,2,4,4,2
436492,BioA-S116-01,4,3,4,2,4,4,3,4,4,4
439828,BioA-S116-01,4,5,4,1,4,5,3,4,4,5
434005,BioA-S116-01,4,3,2,4,4,3,3,3,2,3
432829,@X@course.course_id@X@,4,4,3,1,4,4,1,4,4,4
514048,BioA-S216-01,4,2,2,4,3,3,3,3,1,4
434671,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489600,FrScA-S216-02,5,4,3,2,4,4,3,4,4,4
436868,BioA-S116-01,4,3,3,2,4,4,3,4,3,4
436802,BioA-S116-01,5,5,3,1,5,5,2,4,3,5
517211,BioA-S216-01,5,3,4,3,5,5,1,5,4,5
