CourseSectionOrigID,Bb_UserPK,Gradebook_Item,Grade_Category,FinalGradeCEMS,Points_Possible,Points_Earned,Gender
AnPhA-S116-01,66693,5.4: Muscle Tissue Types Chart,Hw,93.7536,10,4,F
AnPhA-S116-01,66693,5.2 - 5.4: Quiz,Qz,93.7536,10,8.5,F
AnPhA-S116-01,66693,PROGRESS CHECK 3 @ 11-20-15,NA,93.7536,10,NA,F
AnPhA-S116-01,66693,5.5: Naming Skeletal Muscle - Discussion Board,Hw,93.7536,10,10,F
AnPhA-S116-01,66693,5.6: Quiz,Qz,93.7536,10,10,F
AnPhA-S116-01,66693,Unit 5 Assessment: Fitness Class Poster,Hw,93.7536,10,6,M
AnPhA-S116-01,66693,6.1: Quiz,Qz,93.7536,10,10,M
AnPhA-S116-01,66693,6.2: Helmet Law - Discussion Board,Hw,93.7536,10,10,F
AnPhA-S116-01,66693,6.3 - 6.4: Quiz,Qz,93.7536,10,6,M
AnPhA-S116-01,66693,6.5: Diagramming the Nervous System,Hw,93.7536,30,30,F
AnPhA-S116-01,66693,Unit 6 Assessment: Test,Qz,93.7536,30,24.7,F
AnPhA-S116-01,66693,PROGRESS CHECK 4 @ 12-18-15,NA,93.7536,5,4,F
AnPhA-S116-01,66693,7.1: Quiz,Qz,93.7536,10,3,F
AnPhA-S116-01,66693,7.2: Virtual Eye Dissection,Hw,93.7536,10,10,F
AnPhA-S116-01,66693,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,93.7536,5,5,F
AnPhA-S116-01,66693,7.4: Quiz,Qz,93.7536,5,5,F
AnPhA-S116-01,66693,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,93.7536,5,3.05,F
AnPhA-S116-01,66693,8.1 - 8.3: Quiz,Qz,93.7536,10,7,F
AnPhA-S116-01,66693,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,93.7536,10,NA,F
AnPhA-S116-01,66693,8.5: Modeling Leptin and Obesity,Hw,93.7536,28,28,F
AnPhA-S116-01,66693,Unit 8 Assessment: Test,Qz,93.7536,10,10,M
AnPhA-S116-01,66693,Final Exam,NA,93.7536,10,9,M
AnPhA-S116-01,66693,POINTS EARNED & TOTAL COURSE POINTS,NA,93.7536,10,10,F
AnPhA-S116-01,66811,POINTS EARNED & TOTAL COURSE POINTS,NA,91.2016,10,10,F
AnPhA-S116-01,66811,WORK ATTEMPTED,NA,91.2016,28,20,F
AnPhA-S116-01,66811,0.1: Message Your Instructor,NA,91.2016,10,9,M
AnPhA-S116-01,66811,0.2: Intro Assignment - Discussion Board,Hw,91.2016,5,5,M
AnPhA-S116-01,66811,0.3: Intro Assignment - Submitting Files,Hw,91.2016,24,14,M
AnPhA-S116-01,66811,1.1: Quiz,Qz,91.2016,720,693.65,M
AnPhA-S116-01,66811,1.2: Quiz,Qz,91.2016,635,528.63,F
AnPhA-S116-01,66811,1.3: Create a Living Creature,Hw,91.2016,15,15,F
AnPhA-S116-01,66811,1.3: Create a Living Creature - Discussion Board,Hw,91.2016,10,10,M
AnPhA-S116-01,66811,1.4: Negative Feedback Loop Flowchart,Hw,91.2016,30,25,F
AnPhA-S116-01,66811,1.5: Quiz,Qz,91.2016,30,27,F
AnPhA-S116-01,66811,Unit 1 Assessment: Pickle Autopsy Lab,Hw,91.2016,20,20,F
AnPhA-S116-01,66811,PROGRESS CHECK 1 @ 10-02-15,NA,91.2016,30,18,M
AnPhA-S116-01,66811,2.1: Types of Membranes,Hw,91.2016,5,5,F
AnPhA-S116-01,66811,2.2 - 2.3: Quiz,Qz,91.2016,50,47,M
AnPhA-S116-01,66811,2.4 - 2.5 Quiz,Qz,91.2016,625,185.33333,M
AnPhA-S116-01,66811,2.6: Quiz,Qz,91.2016,30,19.88,M
AnPhA-S116-01,66811,Unit 2 Assessment: Test,Qz,91.2016,10,9.5,F
AnPhA-S116-01,66811,3.1: Models of the Integumentary System,Hw,91.2016,50,50,M
AnPhA-S116-01,66811,3.2 - 3.3: Quiz,Qz,91.2016,5,4,F
AnPhA-S116-01,66811,3.4: Skin Twin - Discussion Board,Hw,91.2016,5,5,M
AnPhA-S116-01,66811,Unit 3 Assessment: UV Exposure Lab,Hw,91.2016,10,10,M
AnPhA-S116-01,66811,PROGRESS CHECK 2 @ 10-28-15,NA,91.2016,5,5,F
AnPhA-S116-01,66811,4.2: Balloon Skull Lab,Hw,91.2016,5,5,M
AnPhA-S116-01,66811,4.1 - 4.3: Quiz,Qz,91.2016,5,NA,M
AnPhA-S116-01,66811,4.4: Quiz,Qz,91.2016,15,8,F
AnPhA-S116-01,66811,4.5: Muscle Movements in our Daily Life,Hw,91.2016,5,4,M
AnPhA-S116-01,66811,4.6: Soda and Osteoporosis Research Writing,Hw,91.2016,597,530.83,F
AnPhA-S116-01,66811,Unit 4 Assessment: Test,Qz,91.2016,10,9.5,F
AnPhA-S116-01,66811,5.1: Quiz,Qz,91.2016,30,27,F
AnPhA-S116-01,66811,5.4: Muscle Tissue Types Chart,Hw,91.2016,30,22,F
AnPhA-S116-01,66811,5.2 - 5.4: Quiz,Qz,91.2016,10,10,M
AnPhA-S116-01,66811,PROGRESS CHECK 3 @ 11-20-15,NA,91.2016,10,10,M
AnPhA-S116-01,66811,5.5: Naming Skeletal Muscle - Discussion Board,Hw,91.2016,5,5,F
AnPhA-S116-01,66811,5.6: Quiz,Qz,91.2016,50,NA,F
AnPhA-S116-01,66811,Unit 5 Assessment: Fitness Class Poster,Hw,91.2016,28,24,M
AnPhA-S116-01,66811,6.1: Quiz,Qz,91.2016,50,50,F
AnPhA-S116-01,66811,6.2: Helmet Law - Discussion Board,Hw,91.2016,10,7,F
AnPhA-S116-01,66811,6.3 - 6.4: Quiz,Qz,91.2016,10,10,F
AnPhA-S116-01,66811,6.5: Diagramming the Nervous System,Hw,91.2016,10,NA,F
AnPhA-S116-01,66811,Unit 6 Assessment: Test,Qz,91.2016,465,380.2,F
AnPhA-S116-01,66811,PROGRESS CHECK 4 @ 12-18-15,NA,91.2016,10,10,M
AnPhA-S116-01,66811,7.1: Quiz,Qz,91.2016,377,325.95,F
AnPhA-S116-01,66811,7.2: Virtual Eye Dissection,Hw,91.2016,25,25,F
AnPhA-S116-01,66811,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,91.2016,10,10,F
AnPhA-S116-01,66811,7.4: Quiz,Qz,91.2016,20,18,M
AnPhA-S116-01,66811,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,91.2016,10,8,F
AnPhA-S116-01,66811,8.1 - 8.3: Quiz,Qz,91.2016,5,9,M
AnPhA-S116-01,66811,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,91.2016,465,400.04666,F
AnPhA-S116-01,66811,8.5: Modeling Leptin and Obesity,Hw,91.2016,10,9,F
AnPhA-S116-01,66811,Unit 8 Assessment: Test,Qz,91.2016,5,5,F
AnPhA-S116-01,66811,Final Exam,NA,91.2016,10,8,F
AnPhA-S116-01,66811,POINTS EARNED & TOTAL COURSE POINTS,NA,91.2016,5,4,M
AnPhA-S116-01,66862,POINTS EARNED & TOTAL COURSE POINTS,NA,59.8197328,15,12,F
AnPhA-S116-01,66862,WORK ATTEMPTED,NA,59.8197328,625,533.92333,F
AnPhA-S116-01,66862,0.1: Message Your Instructor,NA,59.8197328,140,124,F
AnPhA-S116-01,66862,0.2: Intro Assignment - Discussion Board,Hw,59.8197328,10,8,M
AnPhA-S116-01,66862,0.3: Intro Assignment - Submitting Files,Hw,59.8197328,10,8,F
AnPhA-S116-01,66862,1.1: Quiz,Qz,59.8197328,5,5,F
AnPhA-S116-01,66862,1.2: Quiz,Qz,59.8197328,10,6,F
AnPhA-S116-01,66862,1.3: Create a Living Creature,Hw,59.8197328,5,5,F
AnPhA-S116-01,66862,1.3: Create a Living Creature - Discussion Board,Hw,59.8197328,5,5,F
AnPhA-S116-01,66862,1.4: Negative Feedback Loop Flowchart,Hw,59.8197328,5,5,F
AnPhA-S116-01,66862,1.5: Quiz,Qz,59.8197328,24,6,F
AnPhA-S116-01,66862,Unit 1 Assessment: Pickle Autopsy Lab,Hw,59.8197328,10,10,F
AnPhA-S116-01,66862,PROGRESS CHECK 1 @ 10-02-15,NA,59.8197328,5,5,F
AnPhA-S116-01,66862,2.1: Types of Membranes,Hw,59.8197328,10,NA,F
AnPhA-S116-01,66862,2.2 - 2.3: Quiz,Qz,59.8197328,10,10,F
AnPhA-S116-01,66862,2.4 - 2.5 Quiz,Qz,59.8197328,10,10,F
AnPhA-S116-01,66862,2.6: Quiz,Qz,59.8197328,5,5,F
AnPhA-S116-01,66862,Unit 2 Assessment: Test,Qz,59.8197328,5,4,M
AnPhA-S116-01,66862,3.1: Models of the Integumentary System,Hw,59.8197328,15,14,F
AnPhA-S116-01,66862,3.2 - 3.3: Quiz,Qz,59.8197328,30,30,F
AnPhA-S116-01,66862,3.4: Skin Twin - Discussion Board,Hw,59.8197328,625,511.44333,M
AnPhA-S116-01,66862,Unit 3 Assessment: UV Exposure Lab,Hw,59.8197328,5,5,F
AnPhA-S116-01,66862,PROGRESS CHECK 2 @ 10-28-15,NA,59.8197328,24,22,F
AnPhA-S116-01,66862,4.2: Balloon Skull Lab,Hw,59.8197328,5,5,M
AnPhA-S116-01,66862,4.1 - 4.3: Quiz,Qz,59.8197328,597,386.75,F
AnPhA-S116-01,66862,4.4: Quiz,Qz,59.8197328,5,5,F
AnPhA-S116-01,66862,4.5: Muscle Movements in our Daily Life,Hw,59.8197328,10,9,F
AnPhA-S116-01,66862,4.6: Soda and Osteoporosis Research Writing,Hw,59.8197328,5,3,F
AnPhA-S116-01,66862,Unit 4 Assessment: Test,Qz,59.8197328,235,211.63,F
AnPhA-S116-01,66862,5.1: Quiz,Qz,59.8197328,40,40,F
AnPhA-S116-01,66862,5.4: Muscle Tissue Types Chart,Hw,59.8197328,30,21,F
AnPhA-S116-01,66862,5.2 - 5.4: Quiz,Qz,59.8197328,5,5,M
AnPhA-S116-01,66862,PROGRESS CHECK 3 @ 11-20-15,NA,59.8197328,10,NA,F
AnPhA-S116-01,66862,5.5: Naming Skeletal Muscle - Discussion Board,Hw,59.8197328,10,10,F
AnPhA-S116-01,66862,5.6: Quiz,Qz,59.8197328,5,NA,F
AnPhA-S116-01,66862,Unit 5 Assessment: Fitness Class Poster,Hw,59.8197328,30,26,F
AnPhA-S116-01,66862,6.1: Quiz,Qz,59.8197328,30,NA,M
AnPhA-S116-01,66862,6.2: Helmet Law - Discussion Board,Hw,59.8197328,10,10,F
AnPhA-S116-01,66862,6.3 - 6.4: Quiz,Qz,59.8197328,353,295.75,M
AnPhA-S116-01,66862,6.5: Diagramming the Nervous System,Hw,59.8197328,10,10,F
AnPhA-S116-01,66862,Unit 6 Assessment: Test,Qz,59.8197328,635,259,F
AnPhA-S116-01,66862,PROGRESS CHECK 4 @ 12-18-15,NA,59.8197328,5,NA,F
AnPhA-S116-01,66862,7.1: Quiz,Qz,59.8197328,10,NA,F
AnPhA-S116-01,66862,7.2: Virtual Eye Dissection,Hw,59.8197328,465,309.875,M
AnPhA-S116-01,66862,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,59.8197328,10,10,F
AnPhA-S116-01,66862,7.4: Quiz,Qz,59.8197328,5,5,M
AnPhA-S116-01,66862,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,59.8197328,50,50,M
AnPhA-S116-01,66862,8.1 - 8.3: Quiz,Qz,59.8197328,10,10,F
AnPhA-S116-01,66862,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,59.8197328,20,12,M
AnPhA-S116-01,66862,8.5: Modeling Leptin and Obesity,Hw,59.8197328,40,NA,M
AnPhA-S116-01,66862,Unit 8 Assessment: Test,Qz,59.8197328,20,12,F
AnPhA-S116-01,66862,Final Exam,NA,59.8197328,720,703.6,M
AnPhA-S116-01,66862,POINTS EARNED & TOTAL COURSE POINTS,NA,59.8197328,15,10,F
AnPhA-S116-01,67508,POINTS EARNED & TOTAL COURSE POINTS,NA,83.8149328,5,5,F
AnPhA-S116-01,67508,WORK ATTEMPTED,NA,83.8149328,30,13.5,F
AnPhA-S116-01,67508,0.1: Message Your Instructor,NA,83.8149328,10,10,M
AnPhA-S116-01,67508,0.2: Intro Assignment - Discussion Board,Hw,83.8149328,720,697,M
AnPhA-S116-01,67508,0.3: Intro Assignment - Submitting Files,Hw,83.8149328,10,6,F
AnPhA-S116-01,67508,1.1: Quiz,Qz,83.8149328,10,NA,F
AnPhA-S116-01,67508,1.2: Quiz,Qz,83.8149328,10,7,F
AnPhA-S116-01,67508,1.3: Create a Living Creature,Hw,83.8149328,10,10,M
AnPhA-S116-01,67508,1.3: Create a Living Creature - Discussion Board,Hw,83.8149328,37,NA,M
AnPhA-S116-01,67508,1.4: Negative Feedback Loop Flowchart,Hw,83.8149328,30,NA,F
AnPhA-S116-01,67508,1.5: Quiz,Qz,83.8149328,237,131.04,M
AnPhA-S116-01,67508,Unit 1 Assessment: Pickle Autopsy Lab,Hw,83.8149328,5,5,F
AnPhA-S116-01,67508,PROGRESS CHECK 1 @ 10-02-15,NA,83.8149328,5,5,F
AnPhA-S116-01,67508,2.1: Types of Membranes,Hw,83.8149328,5,2,F
AnPhA-S116-01,67508,2.2 - 2.3: Quiz,Qz,83.8149328,5,5,M
AnPhA-S116-01,67508,2.4 - 2.5 Quiz,Qz,83.8149328,5,5,M
AnPhA-S116-01,67508,2.6: Quiz,Qz,83.8149328,30,21,F
AnPhA-S116-01,67508,Unit 2 Assessment: Test,Qz,83.8149328,237,199.6,F
AnPhA-S116-01,67508,3.1: Models of the Integumentary System,Hw,83.8149328,10,9.5,F
AnPhA-S116-01,67508,3.2 - 3.3: Quiz,Qz,83.8149328,10,10,M
AnPhA-S116-01,67508,3.4: Skin Twin - Discussion Board,Hw,83.8149328,25,12,M
AnPhA-S116-01,67508,Unit 3 Assessment: UV Exposure Lab,Hw,83.8149328,15,15,M
AnPhA-S116-01,67508,PROGRESS CHECK 2 @ 10-28-15,NA,83.8149328,358,20,F
AnPhA-S116-01,67508,4.2: Balloon Skull Lab,Hw,83.8149328,10,NA,F
AnPhA-S116-01,67508,4.1 - 4.3: Quiz,Qz,83.8149328,10,8,F
AnPhA-S116-01,67508,4.4: Quiz,Qz,83.8149328,10,10,M
AnPhA-S116-01,67508,4.5: Muscle Movements in our Daily Life,Hw,83.8149328,5,5,M
AnPhA-S116-01,67508,4.6: Soda and Osteoporosis Research Writing,Hw,83.8149328,30,24,F
AnPhA-S116-01,67508,Unit 4 Assessment: Test,Qz,83.8149328,5,5,F
AnPhA-S116-01,67508,5.1: Quiz,Qz,83.8149328,10,9.07,F
AnPhA-S116-01,67508,5.4: Muscle Tissue Types Chart,Hw,83.8149328,40,30,F
AnPhA-S116-01,67508,5.2 - 5.4: Quiz,Qz,83.8149328,570,523.05,F
AnPhA-S116-01,67508,PROGRESS CHECK 3 @ 11-20-15,NA,83.8149328,10,NA,F
AnPhA-S116-01,67508,5.5: Naming Skeletal Muscle - Discussion Board,Hw,83.8149328,10,10,M
AnPhA-S116-01,67508,5.6: Quiz,Qz,83.8149328,10,8,F
AnPhA-S116-01,67508,Unit 5 Assessment: Fitness Class Poster,Hw,83.8149328,10,9,F
AnPhA-S116-01,67508,6.1: Quiz,Qz,83.8149328,5,4.5,F
AnPhA-S116-01,67508,6.2: Helmet Law - Discussion Board,Hw,83.8149328,10,9,F
AnPhA-S116-01,67508,6.3 - 6.4: Quiz,Qz,83.8149328,5,5,F
AnPhA-S116-01,67508,6.5: Diagramming the Nervous System,Hw,83.8149328,28,22,M
AnPhA-S116-01,67508,Unit 6 Assessment: Test,Qz,83.8149328,10,9,F
AnPhA-S116-01,67508,PROGRESS CHECK 4 @ 12-18-15,NA,83.8149328,10,10,F
AnPhA-S116-01,67508,7.1: Quiz,Qz,83.8149328,10,10,F
AnPhA-S116-01,67508,7.2: Virtual Eye Dissection,Hw,83.8149328,30,28.5,F
AnPhA-S116-01,67508,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,83.8149328,12,11.64,F
AnPhA-S116-01,67508,7.4: Quiz,Qz,83.8149328,10,NA,F
AnPhA-S116-01,67508,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,83.8149328,10,8,M
AnPhA-S116-01,67508,8.1 - 8.3: Quiz,Qz,83.8149328,10,6.5,F
AnPhA-S116-01,67508,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,83.8149328,10,NA,M
AnPhA-S116-01,67508,8.5: Modeling Leptin and Obesity,Hw,83.8149328,575,429.14333,M
AnPhA-S116-01,67508,Unit 8 Assessment: Test,Qz,83.8149328,443,368.5,F
AnPhA-S116-01,67508,Final Exam,NA,83.8149328,10,8,F
AnPhA-S116-01,67508,POINTS EARNED & TOTAL COURSE POINTS,NA,83.8149328,10,10,F
AnPhA-S116-01,70532,POINTS EARNED & TOTAL COURSE POINTS,NA,93.64,5,5,F
AnPhA-S116-01,70532,WORK ATTEMPTED,NA,93.64,15,13,F
AnPhA-S116-01,70532,0.1: Message Your Instructor,NA,93.64,597,532.1,M
AnPhA-S116-01,70532,0.2: Intro Assignment - Discussion Board,Hw,93.64,30,30,F
AnPhA-S116-01,70532,0.3: Intro Assignment - Submitting Files,Hw,93.64,5,5,M
AnPhA-S116-01,70532,1.1: Quiz,Qz,93.64,28,26,F
AnPhA-S116-01,70532,1.2: Quiz,Qz,93.64,5,5,F
AnPhA-S116-01,70532,1.3: Create a Living Creature,Hw,93.64,10,10,F
AnPhA-S116-01,70532,1.3: Create a Living Creature - Discussion Board,Hw,93.64,30,28,F
AnPhA-S116-01,70532,1.4: Negative Feedback Loop Flowchart,Hw,93.64,30,24,M
AnPhA-S116-01,70532,1.5: Quiz,Qz,93.64,244,219.5,F
AnPhA-S116-01,70532,Unit 1 Assessment: Pickle Autopsy Lab,Hw,93.64,443,334.5,F
AnPhA-S116-01,70532,PROGRESS CHECK 1 @ 10-02-15,NA,93.64,30,24,F
AnPhA-S116-01,70532,2.1: Types of Membranes,Hw,93.64,10,10,M
AnPhA-S116-01,70532,2.2 - 2.3: Quiz,Qz,93.64,10,10,F
AnPhA-S116-01,70532,2.4 - 2.5 Quiz,Qz,93.64,720,687,M
AnPhA-S116-01,70532,2.6: Quiz,Qz,93.64,20,18,F
AnPhA-S116-01,70532,Unit 2 Assessment: Test,Qz,93.64,10,10,F
AnPhA-S116-01,70532,3.1: Models of the Integumentary System,Hw,93.64,10,10,F
AnPhA-S116-01,70532,3.2 - 3.3: Quiz,Qz,93.64,5,4,F
AnPhA-S116-01,70532,3.4: Skin Twin - Discussion Board,Hw,93.64,30,18,M
AnPhA-S116-01,70532,Unit 3 Assessment: UV Exposure Lab,Hw,93.64,10,9.33333,F
AnPhA-S116-01,70532,PROGRESS CHECK 2 @ 10-28-15,NA,93.64,30,NA,M
AnPhA-S116-01,70532,4.2: Balloon Skull Lab,Hw,93.64,5,5,F
AnPhA-S116-01,70532,4.1 - 4.3: Quiz,Qz,93.64,10,10,F
AnPhA-S116-01,70532,4.4: Quiz,Qz,93.64,930,686.51,M
AnPhA-S116-01,70532,4.5: Muscle Movements in our Daily Life,Hw,93.64,12,NA,F
AnPhA-S116-01,70532,4.6: Soda and Osteoporosis Research Writing,Hw,93.64,130,104,M
AnPhA-S116-01,70532,Unit 4 Assessment: Test,Qz,93.64,20,20,M
AnPhA-S116-01,70532,5.1: Quiz,Qz,93.64,353,299,M
AnPhA-S116-01,70532,5.4: Muscle Tissue Types Chart,Hw,93.64,10,10,F
AnPhA-S116-01,70532,5.2 - 5.4: Quiz,Qz,93.64,5,5,F
AnPhA-S116-01,70532,PROGRESS CHECK 3 @ 11-20-15,NA,93.64,5,10,F
AnPhA-S116-01,70532,5.5: Naming Skeletal Muscle - Discussion Board,Hw,93.64,37,32,F
AnPhA-S116-01,70532,5.6: Quiz,Qz,93.64,443,389,F
AnPhA-S116-01,70532,Unit 5 Assessment: Fitness Class Poster,Hw,93.64,10,10,F
AnPhA-S116-01,70532,6.1: Quiz,Qz,93.64,20,18,M
AnPhA-S116-01,70532,6.2: Helmet Law - Discussion Board,Hw,93.64,60,60,M
AnPhA-S116-01,70532,6.3 - 6.4: Quiz,Qz,93.64,10,NA,F
