opdata_username,opdata_CourseID,Q1MaincellgroupRow1,Q1MaincellgroupRow2,Q1MaincellgroupRow3,Q1MaincellgroupRow4,Q1MaincellgroupRow5,Q1MaincellgroupRow6,Q1MaincellgroupRow7,Q1MaincellgroupRow8,Q1MaincellgroupRow9,Q1MaincellgroupRow10
_86113_1,BioA-S116-01,3,3,3,3,3,3,4,3,1,4
_86793_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_87970_1,OcnA-S116-01,5,4,4,1,4,5,3,4,3,5
_88307_1,OcnA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_76891_1,OcnA-S116-01,3,4,3,1,4,5,1,4,2,3
_86113_1,BioA-S116-01,5,5,4,1,4,5,2,5,5,5
_89165_1,FrScA-S116-03,5,3,4,1,5,3,2,5,2,5
_84684_1,OcnA-T116-01,4,2,3,3,4,NA,NA,NA,NA,NA
_86689_1,OcnA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86580_1,BioA-S116-01,5,5,4,1,5,5,1,5,5,5
_76426_1,PhysA-S116-01,1,2,2,3,4,4,1,3,2,1
_88440_1,OcnA-S116-01,4,4,3,1,4,4,1,4,4,4
_77976_1,FrScA-S116-03,5,3,4,1,4,3,1,5,4,5
_87484_1,FrScA-S116-01,4,4,4,1,4,4,1,4,5,5
_57224_1,FrScA-S116-03,4,2,3,1,5,4,3,5,3,4
_66508_1,AnPhA-T116-01,4,4,3,2,4,5,3,4,4,4
_87914_1,FrScA-S116-01,4,4,4,2,5,4,2,4,4,4
_86353_1,PhysA-S116-01,5,5,5,1,5,5,4,5,5,5
_86460_1,OcnA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_84757_1,AnPhA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_76132_1,AnPhA-T116-01,4,4,2,2,4,4,3,4,4,4
_88340_1,OcnA-T116-01,5,5,5,1,5,5,2,5,5,5
_85390_1,PhysA-S116-01,5,NA,4,1,5,4,1,5,5,4
_85390_1,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_61357_1,FrScA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_88261_1,FrScA-S116-01,5,4,3,1,5,4,2,5,4,5
_87093_1,FrScA-S116-01,5,5,4,2,4,5,1,5,4,4
_70408_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_87081_1,BioA-S116-01,3,3,2,4,3,3,3,2,3,3
_88481_1,PhysA-S116-01,4,4,4,2,4,4,2,4,4,4
_85416_1,FrScA-S116-01,4,4,2,2,4,4,3,4,4,4
_87171_1,PhysA-S116-01,4,4,3,2,4,4,3,4,4,4
_88381_1,PhysA-S116-01,4,5,3,1,5,5,2,4,4,5
_88381_1,PhysA-S116-01,5,2,3,1,5,4,2,5,3,5
_89144_1,FrScA-S116-03,4,5,3,1,4,5,2,5,3,5
_67762_1,FrScA-S116-02,4,3,2,2,4,4,2,4,4,4
@X@user.pk_string@X@,@X@course.course_id@X@,5,4,4,1,4,4,2,4,3,5
_87122_1,OcnA-S116-02,5,4,4,1,4,4,2,4,3,5
_54282_1,OcnA-S116-02,3,3,3,3,4,3,3,3,2,4
_85698_1,FrScA-S116-02,5,4,3,1,4,4,3,3,3,4
_85411_1,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_84794_1,BioA-T116-01,5,5,5,1,5,5,2,5,5,5
_66693_1,AnPhA-S116-01,4,3,2,2,4,4,2,4,3,4
_88835_1,FrScA-S116-03,4,3,4,2,4,4,2,4,4,4
_88703_1,OcnA-T116-01,5,5,5,1,5,5,1,5,5,5
_85891_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_61965_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
@X@user.pk_string@X@,@X@course.course_id@X@,4,3,4,1,5,4,3,5,3,5
_62754_1,PhysA-S116-01,4,3,3,2,4,4,3,5,4,4
_87166_1,AnPhA-S116-01,5,4,3,1,5,5,2,5,4,5
_73132_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_87905_1,FrScA-S116-01,5,5,4,2,4,5,2,5,4,5
_62576_1,PhysA-S116-01,3,4,2,2,3,3,2,3,1,4
_88050_1,AnPhA-S116-01,4,4,3,1,4,4,2,4,4,5
_89395_1,PhysA-S116-01,5,4,4,1,4,4,2,4,NA,4
_89295_1,PhysA-S116-01,4,2,1,3,4,4,2,4,4,4
_88168_1,OcnA-S116-02,4,4,4,1,4,4,2,4,4,5
_85700_1,FrScA-S116-03,5,4,3,1,5,4,3,5,4,5
_86432_1,AnPhA-S116-01,5,4,4,1,5,5,1,5,5,5
_89487_1,OcnA-S116-01,5,4,3,2,4,4,3,4,4,5
_85482_1,OcnA-S116-02,5,5,5,NA,5,5,1,5,5,5
_86707_1,AnPhA-S116-02,4,2,3,2,4,3,2,4,1,2
_70408_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_89376_1,FrScA-S116-03,4,4,3,2,4,4,2,4,4,2
_88153_1,AnPhA-S116-01,5,4,4,1,5,5,1,4,4,5
_88099_1,AnPhA-S116-01,4,3,2,2,4,3,2,4,3,4
_88166_1,OcnA-S116-02,4,4,3,2,4,4,3,4,4,3
_89114_1,OcnA-S116-01,5,3,4,1,5,5,3,5,3,5
_89168_1,FrScA-S116-03,5,3,3,1,4,4,3,5,3,5
@X@user.pk_string@X@,@X@course.course_id@X@,5,3,3,1,4,4,2,4,3,5
_89490_1,PhysA-S116-01,5,4,3,1,5,4,3,5,4,5
_86446_1,AnPhA-S116-01,4,4,3,2,5,3,1,4,3,2
_87122_1,OcnA-S116-02,4,3,3,1,5,4,2,4,3,5
_70068_1,FrScA-S116-03,5,5,5,1,5,5,1,5,5,5
_85574_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_88636_1,FrScA-S116-03,5,5,5,1,5,NA,NA,NA,NA,NA
@X@user.pk_string@X@,@X@course.course_id@X@,4,3,3,2,4,3,2,4,2,4
_84684_1,OcnA-T116-01,4,3,4,1,4,4,2,4,3,5
_70532_1,AnPhA-S116-01,4,4,3,2,4,4,3,4,4,5
_86627_1,FrScA-S116-02,4,3,3,2,4,3,3,3,3,3
@X@user.pk_string@X@,@X@course.course_id@X@,3,2,2,3,4,3,2,3,2,3
_57981_1,OcnA-S116-01,4,4,3,2,4,4,3,5,3,4
_67508_1,AnPhA-S116-01,4,3,3,2,4,4,2,4,3,3
_66693_1,AnPhA-S116-01,3,2,3,1,4,4,2,3,3,3
@X@user.pk_string@X@,@X@course.course_id@X@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_77976_1,FrScA-S116-03,4,2,2,2,4,4,3,4,2,4
_78691_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_66811_1,AnPhA-S116-01,4,3,2,2,3,5,3,4,4,4
_86429_1,@X@course.course_id@X@,4,3,2,3,3,3,2,3,3,2
_87955_1,OcnA-T116-01,4,3,3,2,4,3,2,4,3,4
_90397_1,AnPhA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_90274_1,FrScA-S116-03,5,4,3,1,5,5,2,5,4,4
_85865_1,@X@course.course_id@X@,5,5,4,2,4,5,1,5,4,5
_85929_1,FrScA-S116-01,5,3,3,1,4,4,3,5,3,5
_85323_1,FrScA-S116-01,3,3,2,4,2,4,3,3,2,3
_90516_1,AnPhA-T116-01,4,2,2,2,4,3,3,4,2,4
_89425_1,PhysA-S116-01,5,5,5,1,5,5,2,5,4,5
_87689_1,BioA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_85929_1,FrScA-S116-01,3,2,2,3,4,4,2,3,3,4
_85665_1,FrScA-S116-01,4,2,2,3,4,4,2,4,3,3
_85953_1,PhysA-S116-01,3,4,2,2,2,4,2,3,3,2
_85953_1,@X@course.course_id@X@,4,4,4,2,4,4,1,4,4,5
@X@user.pk_string@X@,@X@course.course_id@X@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_88068_1,AnPhA-S116-01,5,4,5,1,4,4,3,4,3,4
_85962_1,PhysA-S116-01,4,3,3,2,4,4,2,4,3,3
_86479_1,AnPhA-S116-01,4,3,3,2,4,4,3,4,3,5
_87805_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86608_1,AnPhA-S116-01,3,2,4,2,3,3,2,4,3,4
_86504_1,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_85663_1,FrScA-S116-01,5,4,4,1,5,4,2,5,4,5
_86072_1,AnPhA-S116-01,4,4,3,2,4,4,3,5,3,4
_85539_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_87489_1,FrScA-S116-01,4,3,3,2,4,4,2,4,3,5
_54434_1,PhysA-S116-01,4,2,2,2,4,4,2,4,2,4
_54434_1,PhysA-S116-01,4,3,2,2,4,4,2,4,3,4
_85663_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
@X@user.pk_string@X@,@X@course.course_id@X@,4,5,3,2,4,5,2,4,3,4
@X@user.pk_string@X@,@X@course.course_id@X@,4,3,3,2,4,4,3,4,3,4
@X@user.pk_string@X@,@X@course.course_id@X@,4,4,3,2,4,4,2,4,4,4
_86133_1,OcnA-S116-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_90370_1,FrScA-S116-03,5,5,5,1,5,5,1,5,5,5
_89918_1,AnPhA-S116-01,4,2,2,2,4,3,3,4,3,4
_85650_1,FrScA-S116-01,4,3,2,2,4,4,2,4,4,4
_77010_1,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_85249_1,AnPhA-S116-01,4,2,3,1,5,3,2,5,3,3
_68768_1,FrScA-S116-02,4,5,4,1,4,5,1,5,4,5
@X@user.pk_string@X@,@X@course.course_id@X@,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
@X@user.pk_string@X@,@X@course.course_id@X@,4,3,3,1,4,3,1,5,2,5
_90090_1,OcnA-S116-02,4,3,3,2,4,3,2,4,3,3
@X@user.pk_string@X@,@X@course.course_id@X@,3,3,3,4,3,5,2,2,2,4
_86484_1,AnPhA-S116-01,4,4,4,2,4,4,2,4,2,4
_86803_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86815_1,FrScA-S116-01,4,5,3,1,4,5,2,5,3,5
_90398_1,AnPhA-S116-02,4,3,2,2,4,4,3,4,3,3
_85573_1,FrScA-S116-03,5,5,5,1,5,5,1,5,5,5
_88527_1,FrScA-S116-01,5,5,3,1,5,4,1,5,5,5
_88282_1,OcnA-T116-01,4,2,3,2,4,3,2,4,3,2
@X@user.pk_string@X@,@X@course.course_id@X@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86451_1,AnPhA-S116-01,4,3,3,2,4,4,2,4,3,4
_70532_1,AnPhA-S116-01,5,4,4,4,5,4,2,5,3,4
_84685_1,OcnA-T116-01,4,4,3,3,4,4,2,4,4,4
_87906_1,FrScA-S116-01,4,3,3,1,5,4,1,5,3,4
_86353_1,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_79859_1,AnPhA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_90562_1,OcnA-S116-01,4,4,4,2,4,4,2,4,2,5
_86353_1,PhysA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
@X@user.pk_string@X@,@X@course.course_id@X@,4,3,2,4,2,4,1,3,4,4
_70681_1,BioA-S116-01,4,5,4,1,4,5,NA,5,5,3
_85953_1,PhysA-S116-01,4,4,3,2,4,4,2,4,4,4
_49147_1,BioA-S116-01,4,4,3,1,4,4,2,4,3,4
_70408_1,BioA-S116-01,4,4,3,2,4,3,2,4,3,3
_49147_1,BioA-S116-01,5,4,4,1,4,4,2,4,3,5
_79893_1,OcnA-T116-01,4,4,4,2,4,4,2,4,4,4
_49147_1,BioA-S116-01,5,4,3,1,5,3,1,5,4,4
_49147_1,BioA-S116-01,3,3,3,3,3,3,3,3,3,3
_49147_1,BioA-S116-01,4,4,3,1,4,4,3,4,3,4
_49147_1,BioA-S116-01,4,4,4,2,4,4,2,4,4,5
_90397_1,AnPhA-S116-02,5,3,4,1,5,4,1,5,4,5
_90397_1,AnPhA-S116-02,4,3,2,2,4,4,2,4,3,4
_90516_1,AnPhA-T116-01,5,5,5,1,5,5,1,5,5,5
_89435_1,OcnA-S116-01,4,4,4,1,4,3,2,4,4,4
_49147_1,BioA-S116-01,5,5,4,1,5,5,1,5,5,5
_86943_1,OcnA-S116-01,5,4,5,1,5,5,1,5,3,5
_87027_1,FrScA-S116-01,4,3,3,2,4,4,3,4,3,4
_87043_1,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_85292_1,BioA-S116-01,4,4,3,2,4,4,2,4,4,4
_90274_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_49147_1,BioA-S116-01,4,3,3,2,4,3,3,4,3,3
_86113_1,BioA-S116-01,5,3,4,1,5,5,3,5,3,5
_49147_1,BioA-S116-01,4,4,3,2,4,4,2,4,4,3
_49147_1,BioA-S116-01,4,3,3,4,4,4,1,4,2,3
_90861_1,OcnA-S116-01,5,2,3,1,5,4,3,5,2,5
_49147_1,BioA-S116-01,5,4,5,1,5,5,1,5,3,5
_86267_1,AnPhA-S116-01,5,5,3,1,5,5,2,5,5,5
_85704_1,FrScA-S116-03,3,4,2,3,3,4,2,3,2,2
_88501_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_88493_1,FrScA-S116-01,4,3,3,2,4,3,2,4,3,3
_76840_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86588_1,AnPhA-S116-01,5,4,5,1,4,4,2,5,4,5
_85792_1,FrScA-S116-01,4,4,3,2,4,5,3,5,3,4
_86792_1,FrScA-S116-01,3,3,2,2,2,5,2,3,4,3
_68188_1,FrScA-S116-01,5,5,4,1,5,5,1,5,5,5
_77246_1,FrScA-S116-01,4,4,2,4,4,4,4,4,4,3
_85431_1,FrScA-S116-01,5,3,4,2,5,5,2,5,4,5
_49147_1,BioA-S116-01,5,5,2,1,5,4,1,5,4,4
_49147_1,BioA-S116-01,1,2,2,4,3,2,2,2,2,1
_49147_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_89425_1,PhysA-S116-01,4,2,3,2,4,3,3,4,2,2
_86067_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86803_1,FrScA-S116-01,5,5,3,1,4,5,2,4,4,4
_85650_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_88527_1,FrScA-S116-01,3,5,5,2,4,5,3,3,3,2
_49147_1,BioA-S116-01,4,2,2,2,4,4,2,4,4,4
_88835_1,FrScA-S116-03,4,3,3,2,4,4,2,4,3,3
_49147_1,BioA-S116-01,4,3,3,1,5,4,3,5,3,4
_49147_1,BioA-S116-01,3,3,2,3,3,4,3,3,2,2
_87905_1,FrScA-S116-01,4,3,4,2,5,4,2,5,5,4
_85700_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_85668_1,FrScA-S116-01,3,4,2,3,3,4,3,3,2,2
_86340_1,FrScA-S116-01,4,3,3,2,4,3,2,4,2,5
_86271_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_87927_1,FrScA-S116-01,3,5,3,3,4,5,2,4,4,3
_88868_1,FrScA-S116-03,5,5,4,1,4,5,3,5,4,5
_49147_1,BioA-S116-01,5,3,5,1,5,5,1,5,3,5
_86476_1,FrScA-S116-01,5,5,4,1,4,4,2,5,3,4
_49147_1,BioA-S116-01,5,4,5,1,5,5,1,5,3,5
_49147_1,BioA-S116-01,3,3,3,3,3,4,3,3,4,3
_85443_1,FrScA-S116-01,5,4,4,1,4,5,3,5,2,5
_89388_1,FrScA-S116-03,4,3,2,2,3,4,2,4,4,4
_86365_1,FrScA-S116-01,5,5,5,2,4,5,1,5,5,5
_86707_1,AnPhA-S116-02,5,4,3,2,4,4,2,4,5,4
_85889_1,BioA-S116-01,5,3,4,1,5,4,1,5,5,5
_49147_1,BioA-S116-01,5,3,3,1,5,3,1,5,4,5
_48797_1,PhysA-S116-01,4,3,3,2,4,4,2,4,NA,3
_49147_1,BioA-S116-01,3,3,3,3,3,4,3,3,4,3
_49147_1,BioA-S116-01,4,4,3,2,4,4,3,4,4,5
_49147_1,BioA-S116-01,4,3,3,2,4,4,3,4,3,3
_49147_1,BioA-S116-01,4,3,3,4,4,4,3,4,3,3
_85579_1,FrScA-S116-01,5,1,3,1,5,5,3,5,3,5
_70037_1,FrScA-S116-01,3,3,3,5,3,4,3,2,2,3
_89300_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86543_1,FrScA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_87914_1,FrScA-S116-01,5,5,4,2,4,4,2,4,4,4
_89165_1,FrScA-S116-03,4,3,2,2,4,4,2,4,3,2
_91030_1,PhysA-S116-01,4,4,4,2,4,5,1,4,3,4
_61941_1,FrScA-S116-01,4,3,3,2,4,4,2,4,3,4
_78691_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_49147_1,BioA-S116-01,4,4,4,2,4,4,1,4,4,4
_71434_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86618_1,FrScA-S116-03,4,3,3,1,5,3,2,4,3,4
_86455_1,FrScA-S116-01,4,2,2,2,4,4,2,4,2,4
_49147_1,BioA-S116-01,4,4,3,1,4,5,1,4,4,4
_85662_1,FrScA-S116-01,5,4,4,1,4,3,2,5,3,5
_49147_1,BioA-S116-01,5,3,4,1,5,4,2,5,3,5
_77169_1,BioA-S116-01,5,5,3,2,4,5,2,5,4,5
_86679_1,FrScA-S116-01,4,4,3,2,4,3,2,5,4,5
@X@user.pk_string@X@,@X@course.course_id@X@,5,5,3,1,5,5,2,5,5,5
_49147_1,BioA-S116-01,5,4,5,1,4,5,3,5,2,5
_88641_1,AnPhA-S116-01,4,4,4,1,4,5,2,4,3,4
_86793_1,FrScA-S116-01,4,3,3,2,4,3,2,4,3,4
_89005_1,AnPhA-T116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_49147_1,BioA-S116-01,4,3,2,2,4,4,2,4,3,4
_49147_1,BioA-S116-01,5,5,5,5,5,5,1,5,5,5
_86309_1,FrScA-S116-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_86364_1,FrScA-S116-01,5,5,5,2,5,5,1,5,5,5
_49147_1,BioA-S116-01,4,5,3,1,5,5,1,5,5,4
_91176_1,FrScA-S116-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_49147_1,BioA-S116-01,5,5,5,1,5,5,1,5,5,5
_49147_1,BioA-S116-01,4,3,3,1,5,4,3,5,NA,5
_90098_1,FrScA-S116-03,5,4,4,1,4,4,1,5,5,5
_49147_1,BioA-S116-01,5,5,3,1,5,5,2,5,5,5
_91340_1,FrScA-S116-02,5,4,5,1,5,2,2,4,4,3
_49147_1,BioA-S116-01,4,3,3,NA,4,4,1,5,3,4
_88307_1,OcnA-S116-03,5,4,3,1,5,5,1,5,4,4
_86280_1,FrScA-S116-01,5,3,4,1,4,4,2,4,3,4
_90253_1,BioA-S116-01,4,3,2,2,3,5,3,4,4,4
_57224_1,FrScA-S116-03,5,4,5,2,5,4,2,5,3,4
_91575_1,PhysA-S116-01,5,3,4,1,5,5,2,5,3,5
_76930_1,AnPhA-S116-02,4,4,3,4,3,4,2,4,4,4
_49147_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
_90430_1,BioA-S116-01,4,4,3,2,4,4,2,4,4,4
_49147_1,BioA-S116-01,5,5,5,1,5,5,2,5,5,5
_49147_1,BioA-S116-01,4,4,3,2,4,4,3,4,3,4
_87010_1,FrScA-S116-01,5,5,3,1,5,5,1,5,5,5
_91066_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_90928_1,OcnA-S116-01,5,4,3,1,4,4,2,4,3,4
_86618_1,FrScA-S116-03,4,4,3,2,5,3,2,4,3,3
_91635_1,OcnA-S116-01,4,4,3,2,4,4,3,4,4,4
_49147_1,BioA-S116-01,4,3,3,2,4,3,3,4,2,3
_49147_1,BioA-S116-01,5,3,4,1,5,4,2,5,4,5
_86339_1,FrScA-S116-01,4,4,3,1,4,4,2,4,3,4
_90370_1,FrScA-S116-03,3,4,5,2,3,4,3,4,2,4
_91633_1,PhysA-S116-01,4,4,4,2,4,4,2,4,4,4
_49147_1,BioA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_79596_1,PhysA-S116-01,4,3,2,1,4,4,2,4,3,3
_91624_1,BioA-S116-01,5,4,3,1,4,4,3,4,4,5
_49147_1,BioA-S116-01,5,4,3,1,5,4,1,5,4,5
